text,sent48,sent9,sent8,sent15,sent3,sent2,sent1,sent14,sent7,sent6,sent5,sent4,sent57,sent56,sent55,sent54,sent53,sent52,sent51,sent50,sent13,sent12,sent11,sent10,sent17,sent16,sent59,sent58,sent93,sent92,sent91,sent90,sent97,sent96,sent95,sent94,sent98,sent22,sent23,sent20,sent21,sent26,sent27,sent24,sent25,sent28,sent29,sent68,sent69,sent66,sent67,sent64,sent65,sent62,sent63,sent60,sent61,sent31,sent30,sent33,sent32,sent35,sent34,sent37,sent36,sent39,sent38,sent79,sent78,sent75,sent74,sent77,sent76,sent71,sent70,sent73,sent72,sent19,sent49,sent18,sent44,sent45,sent84,sent85,sent86,sent87,sent80,sent81,sent82,sent83,sent40,sent41,sent42,sent43,sent88,sent89,sent46,sent47,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,testWords.thisRepN,testWords.thisTrialN,testWords.thisN,testWords.thisIndex,test1,test3,test2,test5,test4,test7,test6,test9,test8,test10,realTrials.thisRepN,realTrials.thisTrialN,realTrials.thisN,realTrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_8.keys,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,wordRead.keys,wordRead.rt,key_resp_5.keys,questAnswer.keys,questAnswer.rt,date,frameRate,expName,session,participant,
,umgearbeitet.,nan,nan,des,Besatz,Frau,Problemen,nan,eingesprüht.,Japan.,stattfinden.,Sammlung,Einsatz,Stoff,Saft,nan,nan,Menge,nan,mit,einmal,Weins,Slums.,warme,nan,zur,gehärtet.,Frau,Slums.,diskutiert.,Sammlung,ziemlich,verdünnt.,haftbar.,des,jede,zurückgekehrt.,selber,liegen.,nan,Gantenbeins.,nan,gefertigt.,nan,war.,Tage.,ganz,nan,Probleme,nan,ganz,nan,nan,dem,überführt,warmer,Tee,ist.,Nadelhölzer,dem,jede,warmen,nan,das,Boden,Menge,fahren.,Wein,Fall,mitbringen.,zur,nan,nan,warmem,gehalten.,als,Boden,dass,mitbringen.,überführt,Fall,Wohnung.,zwängen.,Wohnung.,Gewebe,war.,Gantenbein.,nan,nan,trug.,mit,nan,nan,als,einmal,nan,Kaffee,zwängen.,,,,,,,,,,,,,,,,,,,,,,,89,0,89,0,0,7,7,7,,,,,,,space,0.588515043259,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,nan,nan,nan,zweiten,rekonstruiert.,gepasst,im,nan,nan,nan,nan,dumme,sinken.,gefertigt.,besprochen.,nan,nan,dunkler,nan,an,Rilke,schon,nan,Milch.,nan,Schule.,nan,gepasst.,nan,nan,dummer,vermiest.,nan,nan,zweiten,Menge,nan,kaufen.,nan,nan,nan,nan,nan,nan,nan,nan,deutlich.,nan,im,nan,deutlich.,nan,nan,Haus,wurden.,Milch.,wieder,nan,umzusetzen.,Haus,Menge,Honigs,nan,Medikament,berührt.,dunkle,nan,schon,genug.,nan,Schule.,nan,nan,Honig,nan,gerne.,berührt.,es,nan,wurden.,genug.,nan,nan,nan,wiederhergestellt.,nan,nan,nan,nan,nan,an,nan,nan,gerne.,Rilke.,nan,wiederbelebt.,nan,,,,,,,,,,,,,,,,,,,,,,,89,0,89,0,0,8,8,8,,,,,,,space,1.01647186279,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0,89,0,,,,,,,,,,,,,None,n,4.61351108551,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Die,Beträchtliche,Die,Bei,Das,Die,In,Die,Die,Die,Unter,Sie,Ihr,Er,Sie,Er,Dort,Mit,Wir,Ich,In,Bei,Am,In,Es,Die,Die,Die,Am,Fernab,Sie,Dass,Die,Manche,Bei,Man,Als,Jugendliche,Jungtiere,Außer,Die,Sie,Alle,Wir,Die,Der,Im,Es,In,Viele,Im,Die,Die,Wir,Es,In,Ich,Die,Jetzt,Wir,Man,Er,Er,In,Nicht,Mit,Wir,Bei,100,Außer,Die,Sie,Außer,Er,In,Wir,Nicht,Es,Außer,Es,100,Sie,Wir,Sie,Danach,Die,Die,Beträchtliche,Die,Die,Ich,Dort,Viele,Wir,In,Walter,Die,Wir,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,0,0,0,,,,,,None,space,1.75156712532,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Stücke,Stücke,Autos,der,Tuch,Schuhe,der,Schule,Eislaufbahnen,"Uhr,",keinen,hatte,Blutdruck,hat,haben,wurde,türmen,dieser,hatten,nehme,meinem,unserer,äußersten,den,wurden,Kinder,Formen,Schuhe,äußeren,des,hatte,es,Lösung,Kreditnehmer,der,machte,die,können,sollten,den,Gäste,verbrauchen,Betten,hatten,Uhr,Flug,Fernrohr,wurden,der,Tonnen,Fernrohr,Autos,Schule,haben,waren,den,wurde,Teilnehmerinnen,ist,haben,machte,stellt,wurde,einer,ein,dieser,konnten,unserer,g,das,Kinder,verbrauchen,dem,stellt,diesem,übergaben,ein,hat,dem,waren,g,verlassen,mussten,verlassen,wurde,Uhr,Gäste,Stücke,Linie,Uhr,nehme,türmen,Tonnen,übergaben,meinem,Scheel,müden,mussten,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,1,1,1,,,,,,,space,0.956244945526,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,wurden,saftiges,beider,Feier,wurde,in,Tat,verbraucht,wurden,die,Umständen,keine,kann,ein,die,trotz,sich,Methode,in,eine,Studium,Ankunft,Rand,Kakao,Eimer,fuhren,wurden,in,Rand,Rummels,keine,"regnete,",wird,sind,Feier,mal,Sonne,Kleidung,immer,Bürgermeister,suchen,60,wurden,in,schlug,zum,sahen,Eimer,Tat,gebrauchter,sahen,beider,verbraucht,jede,nur,Kakao,damals,wussten,genau,jede,mal,die,trotz,Studie,Tropfen,Methode,dann,Ankunft,braunen,Essen,fuhren,60,Bürgermeister,die,Zirkus,dem,Tropfen,uns,Essen,nur,brauner,wegen,uns,wegen,die,schlug,suchen,saftigen,101,war,eine,sich,gebrauchte,das,Studium,war,Teilnehmer,uns,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,2,2,2,,,,,,,space,0.796882867813,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,aus,Fleisch,beteiligten,gedachte,dann,Größe,wissen,260.000,mit,er,können,Lust,schon,Hemd,Erlebnisse,dem,Berge,kann,Dänemark,große,habe,stand,der,gehören,roter,mit,unter,Größe,der,wurde,Lust,hat,mit,mit,gedachte,wieder,"unterging,",bei,auf,beschuldigten,die,Liter,mit,Dänemark,"sporadisch,",Mond,wir,rote,wissen,Kleidung,wir,beteiligter,260.000,Menge,kleinere,gehören,schnell,überwiegend,die,Menge,wieder,Masse,des,wurde,königlichen,kann,mit,stand,Zuckers,kann,mit,Liter,beschuldigten,Masse,werden,Mann,königliches,die,kann,kleinere,Zucker,des,durch,dem,Leinwand,"sporadisch,",die,Fleischs,hält,aus,große,Berge,Kleidung,Auto,las,der,wurden,durch,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,3,3,3,,,,,,,space,1.13631486893,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,"wertvollem,",wurden,Fahrer,man,mit,36,wir,Kilowattstunden,dauerhaftem,"trug,",Neuwahlen,auf,bei,aus,bei,bekannten,schmutzige,man,gelegentlich,Packung,ich,ein,Stadt,immer,Farbe,solchen,"regelmäßigem,",36,Stadt,schon,auf,uns,"reichlichem,","sämtlichem,",man,viel,war,ausreichendem,warmem,die,Wohnung,sprudelnden,"üblichem,",einen,obwohl,dauerte,den,Farbe,wir,landen,den,Fahrer,Kilowattstunden,alten,"Delikte,",immer,dank,"nicht,",richtige,alten,viel,mit,bekannten,jetzt,Bluts,man,"minimalem,",ein,sind,ich,solch,sprudelndes,die,mit,die,das,Blut,Stimmung,ich,"Delikte,",sind,schönen,Büschel,schönen,aus,obschon,Wohnung,wurden,nicht,"Japan,",Packung,schmutziger,landen,dem,ich,vierte,mit,Büschel,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,4,4,4,,,,,,,space,2.28107213974,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,klassischen,serviert.,wurden,der,"reichem,",würden,von,elektrische,feinem,war,vor,noch,minimalem,feinem,"frischem,",Skandal,Wäsche.,eine,einen,salzige,mehr,Glas,liegen,350,geschleudert.,unzureichenden,kaltem,hätten,liegen,immer,noch,die,purem,künftigem,den,Lärm,die,monatlichem,weichem,Störenfriede,des,Trinkwassers.,harten,gelegentlichen,sie,ungefähr,roten,geschleudert.,um,im,roten,wurden,elektrischer,Krams,deren,350,täglichem,was,"Zeit,",Kram,Lärm,einem,Skandals,"nachgewiesen,",hat,eine,sauberen,Glas,auf,leider,unzureichenden,Trinkwasser.,Störenfriede,einem,Tiere,Auto,hat,ziemlich,leider,derer,auf,Wetters,frischen,Wetter,seltenem,sie,des,serviert.,am,die,salziger,Wäsche.,im,Mann,mehr,Bundespräsident.,zusätzlichem,frisches,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,5,5,5,,,,,,,space,1.45911288261,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Schmuck,nan,verschrottet.,Soldaten,goldenen,seiner,den,Energie.,Kunsteis,aus,Dezember,eine,täglichen,dichten,kaltem,wiedergewählt.,nan,große,Besucher.,Wurst,als,köstlichen,die,ml,nan,Helmen,Abduschen,seiner,die,ruhig,eine,Stimmung,Alkohol,Einkommen,Soldaten,um,Flut,Taschengeld,Untergrund,jeden.,Herrn,nan,Schaumstoff,Besucher.,defekt,drei,Planeten,nan,die,Müll.,Planet,verschrottet.,Energie.,aus,sie,ml,grünen,Tupperware,um,aus,um,Esslöffel,wiedergewählt.,dass,den,große,Kraftstoff,köstlicher,jeden,nichts,Helmen,nan,jeden.,Esslöffel,artgerecht,mehr,den,"vermiest,",nichts,sie,jeden,die,Grases,die,dichten,defekt,Herrn,nan,Hauptbahnhof.,er,Wurst,nan,Müll.,mehr,als,nan,schwarzem,Gras,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,6,6,6,,,,,,,space,0.822301864624,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,umgearbeitet.,nan,nan,des,Besatz,Frau,Problemen,nan,eingesprüht.,Japan.,stattfinden.,Sammlung,Einsatz,Stoff,Saft,nan,nan,Menge,nan,mit,einmal,Weins,Slums.,warme,nan,zur,gehärtet.,Frau,Slums.,diskutiert.,Sammlung,ziemlich,verdünnt.,haftbar.,des,jede,zurückgekehrt.,selber,liegen.,nan,Gantenbeins.,nan,gefertigt.,nan,war.,Tage.,ganz,nan,Probleme,nan,ganz,nan,nan,dem,überführt,warmer,Tee,ist.,Nadelhölzer,dem,jede,warmen,nan,das,Boden,Menge,fahren.,Wein,Fall,mitbringen.,zur,nan,nan,warmem,gehalten.,als,Boden,dass,mitbringen.,überführt,Fall,Wohnung.,zwängen.,Wohnung.,Gewebe,war.,Gantenbein.,nan,nan,trug.,mit,nan,nan,als,einmal,nan,Kaffee,zwängen.,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,7,7,7,,,,,,,space,1.00636100769,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,nan,nan,nan,zweiten,rekonstruiert.,gepasst,im,nan,nan,nan,nan,dumme,sinken.,gefertigt.,besprochen.,nan,nan,dunkler,nan,an,Rilke,schon,nan,Milch.,nan,Schule.,nan,gepasst.,nan,nan,dummer,vermiest.,nan,nan,zweiten,Menge,nan,kaufen.,nan,nan,nan,nan,nan,nan,nan,nan,deutlich.,nan,im,nan,deutlich.,nan,nan,Haus,wurden.,Milch.,wieder,nan,umzusetzen.,Haus,Menge,Honigs,nan,Medikament,berührt.,dunkle,nan,schon,genug.,nan,Schule.,nan,nan,Honig,nan,gerne.,berührt.,es,nan,wurden.,genug.,nan,nan,nan,wiederhergestellt.,nan,nan,nan,nan,nan,an,nan,nan,gerne.,Rilke.,nan,wiederbelebt.,nan,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,8,8,8,,,,,,,space,0.682743787766,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,nan,nan,nan,Weltkriegs.,nan,haben.,Landkreis.,nan,nan,nan,nan,Sprüche.,nan,nan,nan,nan,nan,Materie,nan,den,gelesen.,auf,nan,nan,nan,nan,nan,nan,nan,nan,Sprüche.,nan,nan,nan,Weltkriegs.,heiße,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Landkreis.,nan,nan,nan,nan,geschafft.,nan,nan,fit.,nan,nan,geschafft.,heißer,her.,nan,nicht,nan,Materie,nan,auf,nan,nan,nan,nan,nan,her.,nan,nan,nan,regnete.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,den,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,0,9,9,9,,,,,,,space,0.886180877686,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,90,0,,,,,,,,,,,,,None,n,3.43874788284,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Die,Beträchtliche,Die,Bei,Das,Die,In,Die,Die,Die,Unter,Sie,Ihr,Er,Sie,Er,Dort,Mit,Wir,Ich,In,Bei,Am,In,Es,Die,Die,Die,Am,Fernab,Sie,Dass,Die,Manche,Bei,Man,Als,Jugendliche,Jungtiere,Außer,Die,Sie,Alle,Wir,Die,Der,Im,Es,In,Viele,Im,Die,Die,Wir,Es,In,Ich,Die,Jetzt,Wir,Man,Er,Er,In,Nicht,Mit,Wir,Bei,100,Außer,Die,Sie,Außer,Er,In,Wir,Nicht,Es,Außer,Es,100,Sie,Wir,Sie,Danach,Die,Die,Beträchtliche,Die,Die,Ich,Dort,Viele,Wir,In,Walter,Die,Wir,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,0,0,0,,,,,,None,space,1.35245990753,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Stücke,Stücke,Autos,der,Tuch,Schuhe,der,Schule,Eislaufbahnen,"Uhr,",keinen,hatte,Blutdruck,hat,haben,wurde,türmen,dieser,hatten,nehme,meinem,unserer,äußersten,den,wurden,Kinder,Formen,Schuhe,äußeren,des,hatte,es,Lösung,Kreditnehmer,der,machte,die,können,sollten,den,Gäste,verbrauchen,Betten,hatten,Uhr,Flug,Fernrohr,wurden,der,Tonnen,Fernrohr,Autos,Schule,haben,waren,den,wurde,Teilnehmerinnen,ist,haben,machte,stellt,wurde,einer,ein,dieser,konnten,unserer,g,das,Kinder,verbrauchen,dem,stellt,diesem,übergaben,ein,hat,dem,waren,g,verlassen,mussten,verlassen,wurde,Uhr,Gäste,Stücke,Linie,Uhr,nehme,türmen,Tonnen,übergaben,meinem,Scheel,müden,mussten,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,1,1,1,,,,,,,space,0.668946027756,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,wurden,saftiges,beider,Feier,wurde,in,Tat,verbraucht,wurden,die,Umständen,keine,kann,ein,die,trotz,sich,Methode,in,eine,Studium,Ankunft,Rand,Kakao,Eimer,fuhren,wurden,in,Rand,Rummels,keine,"regnete,",wird,sind,Feier,mal,Sonne,Kleidung,immer,Bürgermeister,suchen,60,wurden,in,schlug,zum,sahen,Eimer,Tat,gebrauchter,sahen,beider,verbraucht,jede,nur,Kakao,damals,wussten,genau,jede,mal,die,trotz,Studie,Tropfen,Methode,dann,Ankunft,braunen,Essen,fuhren,60,Bürgermeister,die,Zirkus,dem,Tropfen,uns,Essen,nur,brauner,wegen,uns,wegen,die,schlug,suchen,saftigen,101,war,eine,sich,gebrauchte,das,Studium,war,Teilnehmer,uns,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,2,2,2,,,,,,,space,0.735862016678,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,aus,Fleisch,beteiligten,gedachte,dann,Größe,wissen,260.000,mit,er,können,Lust,schon,Hemd,Erlebnisse,dem,Berge,kann,Dänemark,große,habe,stand,der,gehören,roter,mit,unter,Größe,der,wurde,Lust,hat,mit,mit,gedachte,wieder,"unterging,",bei,auf,beschuldigten,die,Liter,mit,Dänemark,"sporadisch,",Mond,wir,rote,wissen,Kleidung,wir,beteiligter,260.000,Menge,kleinere,gehören,schnell,überwiegend,die,Menge,wieder,Masse,des,wurde,königlichen,kann,mit,stand,Zuckers,kann,mit,Liter,beschuldigten,Masse,werden,Mann,königliches,die,kann,kleinere,Zucker,des,durch,dem,Leinwand,"sporadisch,",die,Fleischs,hält,aus,große,Berge,Kleidung,Auto,las,der,wurden,durch,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,3,3,3,,,,,,,space,0.577073097229,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,"wertvollem,",wurden,Fahrer,man,mit,36,wir,Kilowattstunden,dauerhaftem,"trug,",Neuwahlen,auf,bei,aus,bei,bekannten,schmutzige,man,gelegentlich,Packung,ich,ein,Stadt,immer,Farbe,solchen,"regelmäßigem,",36,Stadt,schon,auf,uns,"reichlichem,","sämtlichem,",man,viel,war,ausreichendem,warmem,die,Wohnung,sprudelnden,"üblichem,",einen,obwohl,dauerte,den,Farbe,wir,landen,den,Fahrer,Kilowattstunden,alten,"Delikte,",immer,dank,"nicht,",richtige,alten,viel,mit,bekannten,jetzt,Bluts,man,"minimalem,",ein,sind,ich,solch,sprudelndes,die,mit,die,das,Blut,Stimmung,ich,"Delikte,",sind,schönen,Büschel,schönen,aus,obschon,Wohnung,wurden,nicht,"Japan,",Packung,schmutziger,landen,dem,ich,vierte,mit,Büschel,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,4,4,4,,,,,,,space,0.520542860031,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,klassischen,serviert.,wurden,der,"reichem,",würden,von,elektrische,feinem,war,vor,noch,minimalem,feinem,"frischem,",Skandal,Wäsche.,eine,einen,salzige,mehr,Glas,liegen,350,geschleudert.,unzureichenden,kaltem,hätten,liegen,immer,noch,die,purem,künftigem,den,Lärm,die,monatlichem,weichem,Störenfriede,des,Trinkwassers.,harten,gelegentlichen,sie,ungefähr,roten,geschleudert.,um,im,roten,wurden,elektrischer,Krams,deren,350,täglichem,was,"Zeit,",Kram,Lärm,einem,Skandals,"nachgewiesen,",hat,eine,sauberen,Glas,auf,leider,unzureichenden,Trinkwasser.,Störenfriede,einem,Tiere,Auto,hat,ziemlich,leider,derer,auf,Wetters,frischen,Wetter,seltenem,sie,des,serviert.,am,die,salziger,Wäsche.,im,Mann,mehr,Bundespräsident.,zusätzlichem,frisches,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,5,5,5,,,,,,,space,0.5540599823,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Schmuck,nan,verschrottet.,Soldaten,goldenen,seiner,den,Energie.,Kunsteis,aus,Dezember,eine,täglichen,dichten,kaltem,wiedergewählt.,nan,große,Besucher.,Wurst,als,köstlichen,die,ml,nan,Helmen,Abduschen,seiner,die,ruhig,eine,Stimmung,Alkohol,Einkommen,Soldaten,um,Flut,Taschengeld,Untergrund,jeden.,Herrn,nan,Schaumstoff,Besucher.,defekt,drei,Planeten,nan,die,Müll.,Planet,verschrottet.,Energie.,aus,sie,ml,grünen,Tupperware,um,aus,um,Esslöffel,wiedergewählt.,dass,den,große,Kraftstoff,köstlicher,jeden,nichts,Helmen,nan,jeden.,Esslöffel,artgerecht,mehr,den,"vermiest,",nichts,sie,jeden,die,Grases,die,dichten,defekt,Herrn,nan,Hauptbahnhof.,er,Wurst,nan,Müll.,mehr,als,nan,schwarzem,Gras,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,6,6,6,,,,,,,space,0.524428844452,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,umgearbeitet.,nan,nan,des,Besatz,Frau,Problemen,nan,eingesprüht.,Japan.,stattfinden.,Sammlung,Einsatz,Stoff,Saft,nan,nan,Menge,nan,mit,einmal,Weins,Slums.,warme,nan,zur,gehärtet.,Frau,Slums.,diskutiert.,Sammlung,ziemlich,verdünnt.,haftbar.,des,jede,zurückgekehrt.,selber,liegen.,nan,Gantenbeins.,nan,gefertigt.,nan,war.,Tage.,ganz,nan,Probleme,nan,ganz,nan,nan,dem,überführt,warmer,Tee,ist.,Nadelhölzer,dem,jede,warmen,nan,das,Boden,Menge,fahren.,Wein,Fall,mitbringen.,zur,nan,nan,warmem,gehalten.,als,Boden,dass,mitbringen.,überführt,Fall,Wohnung.,zwängen.,Wohnung.,Gewebe,war.,Gantenbein.,nan,nan,trug.,mit,nan,nan,als,einmal,nan,Kaffee,zwängen.,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,0,7,7,7,,,,,,,space,1.19113683701,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,91,0,,,,,,,,,,,,,None,j,3.61212491989,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Die,Beträchtliche,Die,Bei,Das,Die,In,Die,Die,Die,Unter,Sie,Ihr,Er,Sie,Er,Dort,Mit,Wir,Ich,In,Bei,Am,In,Es,Die,Die,Die,Am,Fernab,Sie,Dass,Die,Manche,Bei,Man,Als,Jugendliche,Jungtiere,Außer,Die,Sie,Alle,Wir,Die,Der,Im,Es,In,Viele,Im,Die,Die,Wir,Es,In,Ich,Die,Jetzt,Wir,Man,Er,Er,In,Nicht,Mit,Wir,Bei,100,Außer,Die,Sie,Außer,Er,In,Wir,Nicht,Es,Außer,Es,100,Sie,Wir,Sie,Danach,Die,Die,Beträchtliche,Die,Die,Ich,Dort,Viele,Wir,In,Walter,Die,Wir,,,,,,,,,,,,,,,,,,,,,,,92,0,92,0,0,0,0,0,,,,,,None,space,0.709023952484,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,Stücke,Stücke,Autos,der,Tuch,Schuhe,der,Schule,Eislaufbahnen,"Uhr,",keinen,hatte,Blutdruck,hat,haben,wurde,türmen,dieser,hatten,nehme,meinem,unserer,äußersten,den,wurden,Kinder,Formen,Schuhe,äußeren,des,hatte,es,Lösung,Kreditnehmer,der,machte,die,können,sollten,den,Gäste,verbrauchen,Betten,hatten,Uhr,Flug,Fernrohr,wurden,der,Tonnen,Fernrohr,Autos,Schule,haben,waren,den,wurde,Teilnehmerinnen,ist,haben,machte,stellt,wurde,einer,ein,dieser,konnten,unserer,g,das,Kinder,verbrauchen,dem,stellt,diesem,übergaben,ein,hat,dem,waren,g,verlassen,mussten,verlassen,wurde,Uhr,Gäste,Stücke,Linie,Uhr,nehme,türmen,Tonnen,übergaben,meinem,Scheel,müden,mussten,,,,,,,,,,,,,,,,,,,,,,,92,0,92,0,0,1,1,1,,,,,,,space,0.822705030441,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,wurden,saftiges,beider,Feier,wurde,in,Tat,verbraucht,wurden,die,Umständen,keine,kann,ein,die,trotz,sich,Methode,in,eine,Studium,Ankunft,Rand,Kakao,Eimer,fuhren,wurden,in,Rand,Rummels,keine,"regnete,",wird,sind,Feier,mal,Sonne,Kleidung,immer,Bürgermeister,suchen,60,wurden,in,schlug,zum,sahen,Eimer,Tat,gebrauchter,sahen,beider,verbraucht,jede,nur,Kakao,damals,wussten,genau,jede,mal,die,trotz,Studie,Tropfen,Methode,dann,Ankunft,braunen,Essen,fuhren,60,Bürgermeister,die,Zirkus,dem,Tropfen,uns,Essen,nur,brauner,wegen,uns,wegen,die,schlug,suchen,saftigen,101,war,eine,sich,gebrauchte,das,Studium,war,Teilnehmer,uns,,,,,,,,,,,,,,,,,,,,,,,92,0,92,0,0,2,2,2,,,,,,,space,0.512760877609,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,aus,Fleisch,beteiligten,gedachte,dann,Größe,wissen,260.000,mit,er,können,Lust,schon,Hemd,Erlebnisse,dem,Berge,kann,Dänemark,große,habe,stand,der,gehören,roter,mit,unter,Größe,der,wurde,Lust,hat,mit,mit,gedachte,wieder,"unterging,",bei,auf,beschuldigten,die,Liter,mit,Dänemark,"sporadisch,",Mond,wir,rote,wissen,Kleidung,wir,beteiligter,260.000,Menge,kleinere,gehören,schnell,überwiegend,die,Menge,wieder,Masse,des,wurde,königlichen,kann,mit,stand,Zuckers,kann,mit,Liter,beschuldigten,Masse,werden,Mann,königliches,die,kann,kleinere,Zucker,des,durch,dem,Leinwand,"sporadisch,",die,Fleischs,hält,aus,große,Berge,Kleidung,Auto,las,der,wurden,durch,,,,,,,,,,,,,,,,,,,,,,,92,0,92,0,0,3,3,3,,,,,,,space,0.443169116974,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
,"wertvollem,",wurden,Fahrer,man,mit,36,wir,Kilowattstunden,dauerhaftem,"trug,",Neuwahlen,auf,bei,aus,bei,bekannten,schmutzige,man,gelegentlich,Packung,ich,ein,Stadt,immer,Farbe,solchen,"regelmäßigem,",36,Stadt,schon,auf,uns,"reichlichem,","sämtlichem,",man,viel,war,ausreichendem,warmem,die,Wohnung,sprudelnden,"üblichem,",einen,obwohl,dauerte,den,Farbe,wir,landen,den,Fahrer,Kilowattstunden,alten,"Delikte,",immer,dank,"nicht,",richtige,alten,viel,mit,bekannten,jetzt,Bluts,man,"minimalem,",ein,sind,ich,solch,sprudelndes,die,mit,die,das,Blut,Stimmung,ich,"Delikte,",sind,schönen,Büschel,schönen,aus,obschon,Wohnung,wurden,nicht,"Japan,",Packung,schmutziger,landen,dem,ich,vierte,mit,Büschel,,,,,,,,,,,,,,,,,,,,,,,92,0,92,0,0,4,4,4,,,,,,,space,0.437070846558,,,,2017_Jan_25_1106,59.6573294684,spr_backupper,001,Mi11,
